5905	Salut... j'arrive!	tt0084627	1982
5906	Le Dernier Combat (The Last Battle)	tt0085426	1983
5907	Alors heureux?	tt0275909	1980
5908	L'eau à la bouche	tt0052769	1960
5909	War of the Buttons	tt0054949	1962
5910	Tartarin de Tarascon	tt0056559	1962
5911	48 Stunden bis Acapulco	tt0061315	1967
5912	Double Face	tt0063979	1969
5913	Hot Traces of St. Pauli	tt0067105	1971
5914	Tintin et les oranges bleues	tt0058663	1964
5915	With the Lives of Others	tt0060140	1966
5916	The Things of Life	tt0064165	1970
5917	The Big Blue	tt0095250	1988
5918	L'homme au masque d'or	tt0099789	1991
5919	The Bridge	tt0052654	1959
5920	The River Line	tt0057223	1964
5921	Wenn es Nacht wird auf der Reeperbahn	tt0062484	1967
5922	À l'heure où les grands fauves vont boire	tt0108673	1993
5923	La poudre aux yeux	tt0110878	1995
5924	Impossible Is Not French	tt0071653	1974
5925	Bad Starters	tt0073337	1976
5926	A Straight Laced Girl	tt0075371	1977
5927	Tintin et le mystère de la Toison d'Or	tt0055526	1961
5928	Moulinsart-Hollywood: Quand Tintin fait son cinéma...	tt6489832	1995
5929	El negro que tenía el alma blanca	tt0025557	1951
5930	Canelita en rama	tt0034574	1943
5931	El secreto de la mujer muerta	tt0035302	1943
5932	Razzia	tt0048543	1955
5933	Dishonorable Discharge	tt0050286	1957
5934	Three Days to Live	tt0051110	1957
5935	Angele	tt0024830	1934
5936	La septième porte	tt0038923	1947
5937	Amanti senza amore	tt0039149	1948
5938	Adultero lui, adultera lei	tt0056814	1963
5939	Maciste, gladiatore di Sparta	tt0058312	1964
5940	Messalina vs. the Son of Hercules	tt0058345	1964
5941	Death in the Garden	tt0049521	1956
5942	The Foxiest Girl in Paris	tt0050755	1957
5943	Tabarin	tt0051043	1958
5944	Clérambard	tt0064172	1969
5945	Certaines nouvelles	tt0080511	1980
5946	Fireworks	tt0045763	1954
5947	Wenn der weiße Flieder wieder blüht	tt0046541	1953
5948	The Story of Vickie	tt0047259	1954
5949	Le brasier	tt0099174	1991
5950	Europa	tt0101829	1991
5951	Deadly Force	tt0085409	1983
5952	Dream Lover	tt0090970	1986
5953	Raw Deal	tt0091828	1986
5954	Baby It's You	tt0085208	1983
5955	Off the Wall	tt0086037	1983
5956	After Hours	tt0088680	1985
5957	La Femme Nikita	tt0100263	1990
5958	La voix de l'araignée	tt0113250	1995
5959	Sólo con tu pareja	tt0102958	1991
5960	Salón México	tt0114332	1996
5961	Children of a Lesser God	tt0090830	1986
5962	Hear No Evil	tt0107090	1993
5963	The Phony American	tt0055531	1961
5964	Und sowas nennt sich Leben	tt0055570	1961
5965	Rat' mal, wer heut bei uns schläft...?	tt0064876	1969
5966	Die liebestollen Baronessen	tt0065984	1970
5967	Hallo, Fräulein!	tt0041442	1949
5968	Third from the Right	tt0042416	1950
5969	Royal Children	tt0042658	1950
5970	Der Sprung ins Leben	tt0014504	1924
5971	Die Prinzessin und der Geiger	tt0016246	1925
5972	Dürfen wir schweigen?	tt0016814	1926
5973	Il peccato degli anni verdi	tt0052584	1960
5974	Jack of Spades	tt0053711	1960
5975	Reaching for the Stars	tt0048136	1955
5976	Sky Without Stars	tt0048169	1955
5977	Regine	tt0048548	1956
5978	Jet Generation - Wie Mädchen heute Männer lieben	tt0061839	1968
5979	If You Play with Crazy Birds	tt0064944	1969
5980	Playgirls of Frankfurt	tt0060535	1966
5981	The College Girl Murders	tt0062022	1967
5982	Bedroom Stewardesses	tt0062680	1968
5983	Je pense à vous	tt0161721	1992
5984	Misterii	tt0287566	2000
5985	Rendez-vous au tas de sable	tt0100473	1990
5986	Un coeur qui bat	tt0103153	1991
5987	The Hawk	tt0085526	1983
5988	First Name: Carmen	tt0086153	1983
5989	La pirate	tt0087918	1984
5990	La stagione dei sensi	tt0063640	1969
5991	Mark of the Devil	tt0065491	1970
5992	Pan	tt0070503	1973
5993	Swedish Punks	tt0056391	1962
5994	Rooftree	tt0062405	1967
5995	A Handful of Love	tt0070148	1974
5996	Marianne & Juliane	tt0082081	1981
